Name,Date,18O,2H,Month,Site,Type,Well_num,volume(ml),Amount(cm),Run_num,location
Taf-81-3-22-17,3/22/2017,-4.2776,-21.4394,3,Taf,W,81,,,6,Taf81
Taf-81-2-27-17,2/27/2017,-4.3688,-21.9128,2,Taf,W,81,,,6,Taf81
Taf-81-1-23-17,1/23/2017,-4.3445,-21.244,1,Taf,W,81,,,6,Taf81
Taf-81-12-20-16,12/20/2016,-4.3819,-22.1077,12,Taf,W,81,,,6,Taf81
Malae-89-4-24-17,4/24/2017,-4.3079,-19.9856,4,Mmi,W,89,,,6,Mmi89
Malae-89-3-22-17,3/22/2017,-4.2923,-20.1288,3,Mmi,W,89,,,6,Mmi89
Malae-89-2-27-17,2/27/2017,-4.3835,-20.0893,2,Mmi,W,89,,,6,Mmi89
Malae-89-1-23-17,1/23/2017,-4.1568,-19.7851,1,Mmi,W,89,,,6,Mmi89
Malae-89-12-20-16,12/20/2016,-4.2276,-20.2032,12,Mmi,W,89,,,6,Mmi89
Malae-89-11-22-16,11/22/2016,-4.1889,-20.1924,11,Mmi,W,89,,,6,Mmi89
Malae-89-10-20-16,10/20/2016,-4.133,-19.5921,10,Mmi,W,89,,,6,Mmi89
Malae-89-9-20-16,9/20/2016,-4.226,-19.9095,9,Mmi,W,89,,,6,Mmi89
Malae-89-8-24-16,8/24/2016,-4.1407,-19.9342,8,Mmi,W,89,,,6,Mmi89
Mala-93-4-24-17,4/24/2017,-4.1726,-21.7146,4,Moa,W,93,,,6,Moa93
Mala-93-3-22-17,3/22/2017,-4.1787,-21.8126,3,Moa,W,93,,,6,Moa93
Mala-93-2-27-17,2/27/2017,-4.2981,-22.6387,2,Moa,W,93,,,6,Moa93
Mala-93-1-23-17,1/23/2017,-4.2041,-22.0764,1,Moa,W,93,,,6,Moa93
Mala-93-12-20-16,12/20/2016,-4.2193,-21.9739,12,Moa,W,93,,,6,Moa93
Mala-93-11-22-16,11/22/2016,-4.2075,-22.0137,11,Moa,W,93,,,6,Moa93
Mala-93-10-20-16,10/20/2016,-4.2445,-21.4472,10,Moa,W,93,,,6,Moa93
Mala-93-9-20-16,9/20/2016,,,9,Moa,W,93,,,6,Moa93
Mala-93-8-24-16,8/24/2016,-4.2532,-21.329,8,Moa,W,93,,,6,Moa93
Ili-84-4-24-17,4/24/2017,-4.0956,-20.1907,4,Ili,W,84,,,6,Ili84
Ili-84-3-22-17,3/22/2017,-4.1431,-20.1387,3,Ili,W,84,,,6,Ili84
Ili-84-2-27-17,2/27/2017,-4.2774,-21.0892,2,Ili,W,84,,,6,Ili84
Ili-84-1-23-17,1/23/2017,-4.1549,-20.2996,1,Ili,W,84,,,6,Ili84
Ili-84-12-20-16,12/20/2016,-4.0985,-20.3396,12,Ili,W,84,,,6,Ili84
Ili-84-11-22-16,11/22/2016,-4.1819,-20.5182,11,Ili,W,84,,,6,Ili84
Ili-84-10-20-16,10/20/2016,-4.2358,-20.0557,10,Ili,W,84,,,6,Ili84
Ili-84-9-20-16,9/20/2016,-4.153,-20.0917,9,Ili,W,84,,,6,Ili84
Ili-84-8-24-16,8/24/2016,-4.1347,-19.9173,8,Ili,W,84,,,6,Ili84
Asu-128-R-11-22-16,11/22/2016,-4.0731,-18.0843,11,Asu,R,,1650,36.4,6,AsuR
Asu-128-R-10-20-16,10/20/2016,-2.0388,-0.77012,10,Asu,R,,940,20.7,6,AsuR
Asu-128-R-9-20-16,9/20/2016,-2.23275,-3.93485,9,Asu,R,,1030,22.7,6,AsuR
Asu-128-R-8-24-16,8/24/2016,-2.8789,-8.6184,8,Asu,R,,1900,41.9,6,AsuR
Faga-179-R-11-22-16,11/22/2016,-3.9103,-17.6865,11,Faga,R,,1840,40.6,6,FagaR
Faga-179-R-10-20-16,10/20/2016,-1.4322,1.7667,10,Faga,R,,360,7.9,6,FagaR
Faga-179-R-9-20-16,9/20/2016,-2.027,-3.2538,9,Faga,R,,580,12.8,6,FagaR
Faga-179-R-8-24-16,8/24/2016,-3.7178,-16.4702,8,Faga,R,,1260,27.8,6,FagaR
Faga-179-11-22-16,11/22/2016,-4.2914,-20.9793,11,Faga,W,179,,,6,Faga179
Faga-179-10-20-16,10/20/2016,-4.3029,-21.0005,10,Faga,W,179,,,6,Faga179
Faga-179-9-20-16,9/20/2016,-4.3079,-21.0421,9,Faga,W,179,,,6,Faga179
Faga-179-8-24-16,8/24/2016,-4.3396,-21.0587,8,Faga,W,179,,,6,Faga179
Asu-128-11-22-16,11/22/2016,-4.1708,-18.4211,11,Asu,W,128,,,6,Asu128
Asu-128-10-20-16,10/20/2016,-4.0825,-18.1787,10,Asu,W,128,,,6,Asu128
Asu-128-9-20-16,9/20/2016,-4.1542,-17.8673,9,Asu,W,128,,,6,Asu128
Asu-128-8-24-16,8/24/2016,-4.1246,-17.9097,8,Asu,W,128,,,6,Asu128
Mala-89-7-26-17,7/26/2017,-4.26,-19.95,7,Mmi,W,89,,,7,Mmi89
Tafa-33-7-26-17,7/26/2017,-4.23,-20.07,7,Taf,W,33,,,7,Taf33
Mala-81-7-26-17,7/26/2017,-4.14,-19.27,7,Taf,W,81,,,7,Taf81
Mala-67-7-26-17,7/26/2017,-4.12,-19.04,7,Mmi,W,67,,,7,Mmi67
Ili-84-7-26-17,7/26/2017,-4.17,-20.07,7,Ili,W,84,,,7,Ili84
Tafa-60-7-26-17,7/26/2017,-4.2,-19.74,7,Taf,W,60,,,7,Taf60
Tafa-61-7-26-17,7/26/2017,-4.25,-20.29,7,Taf,W,61,,,7,Taf61
Mala-72-7-26-17,7/26/2017,-4.16,-19.06,7,Taf,W,72,,,7,Taf72
Ili-84-R-7-26-17,7/26/2017,-1.34,3.68,7,Ili,R,,360,7.9,7,IliR
Mala-89-6-27-17,6/27/2017,-4.17,-18.97,6,Mmi,W,89,,,7,Mmi89
Tafa-33-6-27-17,6/27/2017,-4.18,-19.93,6,Taf,W,33,,,7,Taf33
Mala-81-6-27-17,6/27/2017,-4.22,-19.57,6,Taf,W,81,,,7,Taf81
Mala-67-6-27-17,6/27/2017,-4.04,-18.84,6,Mmi,W,67,,,7,Mmi67
Ili-84-6-27-17,6/27/2017,-4.18,-20.05,6,Ili,W,84,,,7,Ili84
Tafa-60-6-27-17,6/27/2017,-4.24,-20.19,6,Taf,W,60,,,7,Taf60
Tafa-61-6-27-17,6/27/2017,-4.29,-20.7,6,Taf,W,61,,,7,Taf61
Mala-72-6-27-17,6/27/2017,-4.2,-19.49,6,Taf,W,72,,,7,Taf72
Ili-84-R-6-27-17,6/27/2017,-1.87,0.66,6,Ili,R,,420,9.3,7,IliR
Mala-89-5-30-17,5/30/2017,-4.07,-19.07,5,Mmi,W,89,,,7,Mmi89
Tafa-33-5-30-17,5/30/2017,-4.3,-20.5,5,Taf,W,33,,,7,Taf33
Mala-81-5-30-17,5/30/2017,-4.24,-20.11,5,Taf,W,81,,,7,Taf81
Mala-67-5-30-17,5/30/2017,-4.14,-19.39,5,Mmi,W,67,,,7,Mmi67
Ili-84-5-30-17,5/30/2017,-4.17,-20.28,5,Ili,W,84,,,7,Ili84
Tafa-60-5-30-17,5/30/2017,-4.29,-20.5,5,Taf,W,60,,,7,Taf60
Ili-84-R-5-30-17,5/30/2017,-4.93,-23.64,5,Ili,R,,2800,61.7,7,IliR
Ili-84-R-9-5-17,9/5/2017,,,8,Ili,R,,850,18.7,8,IliR
